 0  0   -14.3645   709.813  -12797.7   216225       -6.07467e+06   -0.000215569
 6  4	-14.2586   662.141  -19525     608654       -1.10485e+07   -0.000257175
 6  5	-14.2682   673.891  -24023.3   868731       -1.51859e+07   -0.000287473
 6  6	-13.9969   574.484  -5071.91   42234.3      -4.67859e+06   -0.000337598
 7  0	-14.1294   507.278   23303    -1.3492e+06    1.46938e+07   -0.000261345
 7  1	 0.0	   0.0       0.0       0.0	     0.0	    0.0
 7  2	-14.2016   510.815   11877.8  -711913        4.85091e+06   -0.000278277
 7  3	-14.0946   462.217   33732.8  -1.67909e+06   1.63903e+07   -0.000308545
 7  4	-14.2748   518.499   14698.2  -927738        8.96243e+06   -0.000257016
 7  5	-14.4186   591.169   7976.3   -747640        7.65163e+06   -0.000279348
 7  6	 0.0       0.0       0.0       0.0           0.0            0.0
 8  0	-14.4875   634.661  -12011.4   255246       -6.10772e+06   -0.000220249
 8  1	-14.45     587.196  -6261.72   23663.2      -2.98733e+06   -0.000255658
 8  2	-14.5072   586.045  -9751.73   260722       -7.25053e+06   -0.00024393
 8  3	-14.3828   598.664  -4291.97  -108155       -998401        -0.000255802
 8  4	-14.3188   563.738  -3243.85  -134627       -446041        -0.000271486
 8  5	-14.3392   524.131  -4160.84   37074.3      -4.06393e+06   -0.00024547
 8  6	-13.9846   666.989  -16784.4   423285       -7.17128e+06   -0.000190453
 9  0	-14.5525   517.933   490.819  -240947        460417         0.000238132
 9  1	-14.6368   593.229  -9884.72   167201       -4.35994e+06   -0.000215853
 9  2	 0.0       0.0       0.0       0.0           0.0            0.0
 9  3	-14.3846   647.133  -7716.94   64920.5      -4.25007e+06   -0.000230491
 9  4	-14.4595   552.533   4658.16  -477938        3.34712e+06   -0.000243268
 9  5	-14.338    540.729   15955    -1.03193e+06   1.04999e+07   -0.000245361
 9  6	-14.5814   623.296  -10467.2   86314.5      -1.97683e+06   -0.000206709
10  0	-13.8688   385.738   16352.1  -778723        5.55424e+06   -0.000301974
10  1	-14.4113   447.64    6281.56  -377018        1.33535e+06   -0.000293263
10  2	-14.3448   478.713  -521.137   28658.9      -5.81811e+06   -0.00027947
10  3	-14.3646   461.505   15983.8  -912530        8.86156e+06   -0.000263833
10  4	-14.2633   492.361   176.628  -77484.6      -4.05879e+06   -0.000254974
10  5	-14.0268   395.352   16039.7  -751082        4.68107e+06   -0.000291696
10  6	-14.199    480.989   4266.34  -264621       -2.07617e+06   -0.000276905
11  0	-13.9899   558.073  -148.311  -61139.6      -5.74093e+06   -0.000319084
11  1	-13.9716   542.952   5139.51  -266560       -3.6263e+06    -0.000283147
11  2	-13.751    649.94   -9426.01   231858       -8.1371e+06    -0.00031836
11  3	-13.4359   496.35    12894    -677665        3.74018e+06   -0.000371215
11  4	-13.8929   553.563   9648.23  -666136        4.5233e+06    -0.000302121
11  5	-13.9483   578.309  -10687     381497       -1.09061e+07   -0.000271263
11  6	-13.8909   531.327   646.603  -187744       -2.00757e+06   -0.00030141
